Morro da Mina;;-28.554043;-49.567071
Pedra da Vaca;;-27.068575;-49.434373
Morro do Baú;;-26.799434;-48.929611
Morro Dom Bosco;;-27.050339;-49.366649
Paredão Carvalho;;-27.090244;-49.451146
